Score	RelativePath	Hits	Length	LastWrite
7	Assets\KiwiAvatarSystem\Runtime\KiwiAvatarRuntimeManager.cs	RuntimeGltfInstance,UniGLTF,VRM,.vrm,SkinnedMeshRenderer,SwitchToFallbackInternal,ApplySurfaceFit	34503	2026-08-22T19:42:21.4110000+09:00
5	Assets\UniGLTF\Runtime\MeshUtility\MeshExtensions.cs	UniGLTF,VRM,.vrm,SkinnedMeshRenderer,sharedMesh	6376	2026-08-11T01:08:21.0681439+09:00
5	Assets\UniGLTF\Runtime\MeshUtility\MeshFreezer.cs	UniGLTF,VRM,.vrm,SkinnedMeshRenderer,sharedMesh	12998	2026-08-11T01:08:21.0801433+09:00
5	Assets\UniGLTF\Runtime\UniGLTF\IO\gltfExporter.cs	GltfData,UniGLTF,VRM,SkinnedMeshRenderer,sharedMesh	14984	2026-08-11T01:08:22.6577023+09:00
5	Assets\VRM\Editor\Format\VRMEditorExporter.cs	GltfData,UniGLTF,VRM,SkinnedMeshRenderer,sharedMesh	9575	2026-08-11T01:08:27.1977345+09:00
5	Assets\VRM\Runtime\BlendShape\PreviewSceneManager.cs	UniGLTF,VRM,.vrm,SkinnedMeshRenderer,sharedMesh	10220	2026-08-11T01:08:28.2497341+09:00
5	Assets\VRM\Runtime\FirstPerson\VRMFirstPerson.cs	UniGLTF,VRM,.vrm,SkinnedMeshRenderer,sharedMesh	13852	2026-08-11T01:08:28.3277351+09:00
5	Assets\VRM\Runtime\IO\VRMImporterContext.cs	UniGLTF,VRM,.vrm,SkinnedMeshRenderer,sharedMesh	14192	2026-08-11T01:08:28.6157619+09:00
5	Assets\VRM\Runtime\IO\VrmUtility.cs	RuntimeGltfInstance,GltfData,UniGLTF,VRM,.vrm	5333	2026-08-11T01:08:28.6727591+09:00
4	Assets\Script\KiwiSurfaceFitter.cs	VRM,SkinnedMeshRenderer,sharedMesh,ApplySurfaceFit	28235	2026-08-12T00:30:40.5575237+09:00
4	Assets\UniGLTF\Runtime\UniGLTF\IO\ImporterContextExtensions.cs	RuntimeGltfInstance,UniGLTF,VRM,.vrm	871	2026-08-11T01:08:22.7457061+09:00
4	Assets\UniGLTF\Runtime\UniGLTF\IO\MaterialIO\BuiltInRP\Import\BuiltInGltfMaterialDescriptorGenerator.cs	GltfData,UniGLTF,VRM,.vrm	1268	2026-08-11T01:08:23.6077362+09:00
4	Assets\UniGLTF\Runtime\UniGLTF\IO\MaterialIO\Import\GltfMaterialImportUtils.cs	GltfData,UniGLTF,VRM,.vrm	2277	2026-08-11T01:08:23.7497356+09:00
4	Assets\UniGLTF\Runtime\UniGLTF\IO\MaterialIO\URP\Import\UrpGltfMaterialDescriptorGenerator.cs	GltfData,UniGLTF,VRM,.vrm	1233	2026-08-11T01:08:24.0017355+09:00
4	Assets\UniGLTF\Runtime\UniGLTF\IO\MeshIO\SkinningInfo.cs	GltfData,UniGLTF,VRM,SkinnedMeshRenderer	3790	2026-08-11T01:08:24.5207357+09:00
4	Assets\UniGLTF\Runtime\UniGLTF\IO\NodeImporter.cs	GltfData,UniGLTF,SkinnedMeshRenderer,sharedMesh	9495	2026-08-11T01:08:22.8827033+09:00
4	Assets\VRM\Editor\BlendShape\SerializedBlendShapeClipEditor.cs	UniGLTF,VRM,SkinnedMeshRenderer,sharedMesh	10873	2026-08-11T01:08:27.0617343+09:00
4	Assets\VRM\Editor\Format\VRMEditorImporterContext.cs	RuntimeGltfInstance,UniGLTF,VRM,.vrm	6180	2026-08-11T01:08:27.2137348+09:00
4	Assets\VRM\Editor\LookAt\VRMLookAtHeadEditor.cs	UniGLTF,VRM,SkinnedMeshRenderer,sharedMesh	5911	2026-08-11T01:08:27.3797360+09:00
4	Assets\VRM\Runtime\BlendShape\BlendShapeBindingMerger.cs	UniGLTF,VRM,SkinnedMeshRenderer,sharedMesh	4314	2026-08-11T01:08:28.1267342+09:00
4	Assets\VRM\Runtime\BlendShape\BlendShapeClipHandler.cs	UniGLTF,VRM,SkinnedMeshRenderer,sharedMesh	1662	2026-08-11T01:08:28.1587344+09:00
4	Assets\VRM\Runtime\BlendShape\MeshPreviewItem.cs	UniGLTF,VRM,SkinnedMeshRenderer,sharedMesh	7329	2026-08-11T01:08:28.2337357+09:00
4	Assets\VRM\Runtime\Extensions\glTF_VRMExtensions.cs	UniGLTF,VRM,SkinnedMeshRenderer,sharedMesh	4738	2026-08-11T01:08:28.2957359+09:00
4	Assets\VRM\Runtime\IO\MaterialIO\BuiltInRP\Import\BuiltInVrmMaterialDescriptorGenerator.cs	GltfData,UniGLTF,VRM,.vrm	2183	2026-08-11T01:08:28.8227594+09:00
4	Assets\VRM\Runtime\IO\MaterialIO\BuiltInRP\Import\Materials\BuiltInVrmMToonMaterialImporter.cs	GltfData,UniGLTF,VRM,.vrm	7342	2026-08-11T01:08:28.8487610+09:00
4	Assets\VRM\Runtime\IO\MaterialIO\URP\Import\UrpVrmMaterialDescriptorGenerator.cs	GltfData,UniGLTF,VRM,.vrm	1670	2026-08-11T01:08:28.9257600+09:00
4	Assets\VRM\Runtime\IO\VRMExporter.cs	GltfData,UniGLTF,VRM,sharedMesh	9195	2026-08-11T01:08:28.5862479+09:00
4	Assets\VRM\Runtime\IO\VrmTextureDescriptorGenerator.cs	GltfData,UniGLTF,VRM,.vrm	2611	2026-08-11T01:08:28.6587594+09:00
4	Assets\VRM\Runtime\SkinnedMeshUtility\VRMBoneNormalizer.cs	UniGLTF,VRM,SkinnedMeshRenderer,sharedMesh	9123	2026-08-11T01:08:29.1247598+09:00
4	Assets\VRM\Runtime\SkinnedMeshUtility\VrmMeshUtility.cs	UniGLTF,VRM,SkinnedMeshRenderer,sharedMesh	5090	2026-08-11T01:08:29.1387590+09:00
3	Assets\KiwiAvatarSystem\Editor\KiwiOptimizationValidator.cs	VRM,.vrm,ApplySurfaceFit	106154	2026-08-20T18:58:08.0212668+09:00
3	Assets\KiwiAvatarSystem\Runtime\KiwiAdaptiveFaceFitter.cs	VRM,SkinnedMeshRenderer,sharedMesh	23434	2026-08-11T01:08:16.3380881+09:00
3	Assets\UniGLTF\Editor\Animation\AnimationExporter.cs	UniGLTF,SkinnedMeshRenderer,sharedMesh	8317	2026-08-11T01:08:19.3301199+09:00
3	Assets\UniGLTF\Editor\JsonSchema\IndexTargets.cs	UniGLTF,VRM,.vrm	3643	2026-08-11T01:08:19.4951178+09:00
3	Assets\UniGLTF\Editor\MeshUtility\MeshUtilityDialog.cs	UniGLTF,SkinnedMeshRenderer,sharedMesh	12079	2026-08-11T01:08:19.7241178+09:00
3	Assets\UniGLTF\Editor\MeshUtility\MeshUtilityMessages.cs	UniGLTF,VRM,SkinnedMeshRenderer	6030	2026-08-11T01:08:19.7371161+09:00
3	Assets\UniGLTF\Editor\MeshUtility\TabBoneMeshRemover.cs	UniGLTF,SkinnedMeshRenderer,sharedMesh	3959	2026-08-11T01:08:19.7751172+09:00
3	Assets\UniGLTF\Editor\MeshUtility\TabMeshSeparator.cs	UniGLTF,SkinnedMeshRenderer,sharedMesh	14395	2026-08-11T01:08:19.7891198+09:00
3	Assets\UniGLTF\Editor\UniGLTF\ExportDialog\GltfExportWindow.cs	GltfData,UniGLTF,.glb	4861	2026-08-11T01:08:19.9086297+09:00
3	Assets\UniGLTF\Editor\UniGLTF\ExportDialog\MeshExportValidator.cs	UniGLTF,SkinnedMeshRenderer,sharedMesh	6408	2026-08-11T01:08:19.9641444+09:00
