unityFrame,realtimeSeconds,sourceHostTicks,sentisArrivalHostTicks,ortObservedHostTicks,rowMode,selectedRowMode,workerQueueMs,ortInferenceMs,bridgeToDoneMs,sourceToOrtObservedMs,sourceToSentisArrivalMs,ortMinusSentisObservedMs,landmarkMaeRaw,landmarkMaeNormalized,landmarkMaxAbsRaw,sentisPresenceLogit,ortPresenceLogit,presenceLogitAbsDiff,sentisPresence,ortPresence,presenceAbsDiff,nativeCompleted,nativeFailures,nativeSkipped,nativeReadyReplacements
455,18.579508703911564,268451922,269415132,268875498,1,1,0.0178,19.5193,19.5513,42.3576,96.321,0,1.46787233E-05,7.64516841E-08,0.000106811523,9.25885,9.258861,1.04904175E-05,0.999904752,0.999904752,0,416,0,0,0
457,18.638295703911567,269091711,270002978,269411981,1,1,0.0301,18.7239,18.7719,32.027,91.1267,0,1.390476E-05,7.24206259E-08,9.15527344E-05,13.6655254,13.6655264,9.536743E-07,0.999998868,0.999998868,0,417,0,0,0
458,18.662989003911566,269246303,270249810,269744954,1,1,0.0187,19.9754,20.0154,49.8651,100.3507,0,1.38796968E-05,7.2290085E-08,0.000122070313,11.69987,11.6998844,1.43051147E-05,0.9999917,0.9999917,0,419,0,0,0
459,18.689961703911568,269730724,270519515,269998293,1,1,0.0157,19.5654,19.5956,26.7569,78.8791,0,1.42830486E-05,7.43908757E-08,0.000106811523,11.7280769,11.7280788,1.90734863E-06,0.999991953,0.999991953,0,420,0,0,0
461,18.752128903911565,270212456,271141255,270512290,1,1,1.6488,22.5188,24.1816,29.9834,92.8799,0,1.440846E-05,7.504406E-08,0.000122070313,13.4940071,13.4940147,7.62939453E-06,0.9999986,0.9999986,0,422,0,0,0
462,18.774174903911565,270388162,271362001,270761040,1,1,0.0229,21.5779,21.628,37.2878,97.3839,0,1.38562818E-05,7.21681346E-08,9.15527344E-05,14.7937326,14.7937336,9.536743E-07,0.999999642,0.999999642,0,423,0,0,0
463,18.800637503911567,270709189,271626178,271135443,1,1,0.0238,28.9631,29.0052,42.6254,91.6989,0,1.35551481E-05,7.059973E-08,9.15527344E-05,9.795516,9.795519,2.861023E-06,0.9999443,0.9999443,0,424,0,0,0
464,18.827733303911565,271024996,271897265,271358716,1,1,0.024,17.9802,18.0415,33.372,87.2269,0,1.3644727E-05,7.106629E-08,7.62939453E-05,14.4314079,14.4314041,3.81469727E-06,0.999999464,0.999999464,0,424,0,0,0
465,18.851435703911566,271181151,272134637,271621980,1,1,0.0226,19.8467,19.8879,44.0829,95.3486,0,1.41703167E-05,7.380373E-08,9.15527344E-05,13.3637514,13.3637524,9.536743E-07,0.99999845,0.99999845,0,426,0,0,0
466,18.880586903911567,271492506,272425888,271892941,1,1,0.0168,25.1304,25.167,40.0435,93.3382,0,1.593404E-05,8.298979E-08,9.15527344E-05,9.012946,9.012952,5.722046E-06,0.999878168,0.999878168,0,427,0,0,0
468,18.934829203911566,271974390,272968385,272424098,1,1,23.2298,1.6959,24.9427,44.9708,99.3995,0,1.50008527E-05,7.812944E-08,9.15527344E-05,11.2195692,11.2195578,1.14440918E-05,0.9999866,0.9999866,0,428,0,0,0
469,18.959625703911566,272296579,273216068,272687798,1,1,0.0197,24.7259,24.7583,39.1219,91.9489,0,1.39941112E-05,7.28859959E-08,0.00016784668,10.2395353,10.2395344,9.536743E-07,0.9999643,0.9999643,0,429,0,0,0
470,18.991219603911567,272619729,273532264,272965785,1,1,0.0125,26.4785,26.5047,34.6056,91.2535,0,1.35994469E-05,7.083045E-08,9.15527344E-05,14.3818645,14.3818569,7.62939453E-06,0.9999994,0.9999994,0,430,0,0,0
472,19.037181803911565,273099392,273991823,273527515,1,1,0.0226,28.0125,28.053,42.8123,89.2431,0,1.36567314E-05,7.112881E-08,0.000122070313,11.7029247,11.7029285,3.81469727E-06,0.9999917,0.9999917,0,432,0,0,0
473,19.064746103911567,273410770,274267615,273772726,1,1,0.0126,22.6825,22.7097,36.1956,85.6845,0,1.39585245E-05,7.270065E-08,9.15527344E-05,13.8795195,13.8795261,6.67572E-06,0.999999046,0.999999046,0,432,0,0,0
475,19.118755903911566,273898008,274807374,274263621,1,1,0.0185,18.7508,18.7852,36.5613,90.9366,0,1.36556964E-05,7.112342E-08,0.000122070313,9.183932,9.183925,7.62939453E-06,0.999897361,0.999897361,0,434,0,0,0
477,19.170878503911567,274381481,275328360,274804552,1,1,1.844,25.7451,27.6077,42.3071,94.6879,0,1.34830207E-05,7.022407E-08,9.15527344E-05,10.757184,10.7571774,6.67572E-06,0.9999787,0.9999787,0,436,0,0,0
478,19.196468603911566,274709490,275584715,275320700,1,1,0.0103,27.9792,28.0013,61.121,87.5225,0,1.46618986E-05,7.636405E-08,0.000106811523,12.8122864,12.8122988,1.23977661E-05,0.999997258,0.999997258,0,436,0,0,0
480,19.244524903911564,275170143,276065257,275581123,1,1,0.0175,22.0991,22.1316,41.098,89.5114,0,1.46241046E-05,7.616721E-08,0.000122070313,9.101922,9.101915,6.67572E-06,0.999888539,0.999888539,0,438,0,0,0
481,19.268497103911567,275341084,276305362,276062599,1,1,0.0203,21.8554,21.9021,72.1515,96.4278,0,1.38905889E-05,7.23468148E-08,8.392334E-05,9.997762,9.997756,5.722046E-06,0.9999545,0.9999545,0,440,0,0,0
482,19.291873803911567,275662160,276538983,276303277,1,1,0.0162,27.4407,27.4727,64.1117,87.6823,0,1.38308378E-05,7.203561E-08,0.0001373291,11.1260471,11.12604,6.67572E-06,0.9999853,0.9999853,0,441,0,0,0
484,19.345488103911567,276289534,277075003,276535662,1,1,0.0163,21.5939,21.6235,24.6128,78.5469,0,1.5202867E-05,7.91815964E-08,0.000106811523,10.504467,10.5044756,8.583069E-06,0.9999726,0.9999726,0,443,0,0,0
485,19.370463203911566,276453052,277324711,276812752,1,1,0.0112,25.7484,25.7715,35.97,87.1659,0,1.48713179E-05,7.745478E-08,0.000106811523,8.350641,8.350642,9.536743E-07,0.9997638,0.9997638,0,444,0,0,0
487,19.422925503911564,276957072,277849274,277319904,1,1,0.0163,21.8566,21.8873,36.2832,89.2202,0,1.41205692E-05,7.354463E-08,0.000122070313,5.711378,5.711382,3.81469727E-06,0.9967028,0.9967028,0,445,0,0,0
488,19.447806803911565,277248453,278098309,277590859,1,1,0.0171,23.8044,23.8407,34.2406,84.9856,0,1.48045065E-05,7.71068045E-08,0.000106811523,9.841951,9.841945,6.67572E-06,0.999946833,0.999946833,0,447,0,0,0
489,19.472993803911567,277419033,278350336,278095795,1,1,0.0204,25.1242,25.1608,67.6762,93.1303,0,1.36623639E-05,7.115815E-08,0.000106811523,11.7404966,11.7405014,4.76837158E-06,0.999992,0.999992,0,447,0,0,0
491,19.521740903911567,278046230,278837306,278348305,1,1,0.7688,23.1353,23.9202,30.2075,79.1076,0,1.44231881E-05,7.51207736E-08,0.000106811523,9.743968,9.743982,1.43051147E-05,0.999941349,0.999941349,0,450,0,0,0
492,19.547267503911566,278213458,279092695,278832722,1,1,0.0128,22.4865,22.5097,61.9264,87.9237,0,1.48856179E-05,7.752926E-08,0.000106811523,9.606287,9.606286,9.536743E-07,0.9999327,0.9999327,0,451,0,0,0
494,19.597469603911566,278690132,279594467,279088209,1,1,0.0342,23.445,23.4934,39.8077,90.4335,0,1.43942189E-05,7.496989E-08,0.000122070313,12.4610977,12.4610949,2.861023E-06,0.9999961,0.9999961,0,452,0,0,0
495,19.623069703911565,279006618,279850811,279337433,1,1,0.0137,22.5687,22.5996,33.0815,84.4193,0,1.39766971E-05,7.27952951E-08,0.000106811523,9.634792,9.634788,4.76837158E-06,0.9999346,0.9999346,0,454,0,0,0
496,19.649529403911565,279172845,280115050,279846705,1,1,0.0146,35.9658,35.9965,67.386,94.2205,0,1.3811451E-05,7.193464E-08,0.000106811523,9.030173,9.030171,1.90734863E-06,0.999880254,0.999880254,0,455,0,0,0
498,19.702153003911565,279659056,280640570,280111663,1,1,9.5968,14.1628,23.7728,45.2607,98.1514,0,1.45502463E-05,7.578253E-08,0.000106811523,12.8634977,12.8634834,1.43051147E-05,0.999997437,0.999997437,0,457,0,0,0
499,19.727804703911566,279987284,280898044,280384992,1,1,0.0164,25.6306,25.6634,39.7708,91.076,0,1.33852518E-05,6.971485E-08,0.000122070313,10.1735544,10.1735525,1.90734863E-06,0.999961853,0.999961853,0,457,0,0,0
501,19.777005603911565,280449786,281389972,280895039,1,1,0.0152,23.6309,23.6684,44.5253,94.0186,0,1.49693942E-05,7.79655949E-08,0.000106811523,6.33595371,6.33595753,3.81469727E-06,0.998231649,0.9982317,5.96046448E-08,460,0,0,0
503,19.828262103911566,281106108,281901912,281385162,1,1,0.0093,20.9901,21.0088,27.9054,79.5804,0,1.47693563E-05,7.692373E-08,0.000122070313,8.763493,8.763496,3.81469727E-06,0.999843657,0.9998437,5.96046448E-08,462,0,0,0
504,19.860309403911565,281253144,282222762,281647963,1,1,0.0162,24.0287,24.0618,39.4819,96.9618,0,1.4307604E-05,7.451877E-08,0.000106811523,9.086084,9.086095,1.04904175E-05,0.9998868,0.9998868,0,463,0,0,0
506,19.909858803911565,281887598,282718833,282217647,1,1,0.0268,26.2406,26.2887,33.0049,83.1235,0,1.37457855E-05,7.159263E-08,9.15527344E-05,8.306361,8.306354,7.62939453E-06,0.9997531,0.9997531,0,464,0,0,0
508,19.956824803911566,282376394,283186205,282714946,1,1,0.0144,18.7801,18.8083,33.8552,80.9811,0,1.43203688E-05,7.458525E-08,9.15527344E-05,8.767159,8.767156,3.81469727E-06,0.999844253,0.999844253,0,466,0,0,0
509,19.982138703911566,282529876,283441615,283184348,1,1,0.0156,24.2302,24.2678,65.4472,91.1739,0,1.49172474E-05,7.7694E-08,0.000106811523,8.422803,8.422807,3.81469727E-06,0.999780238,0.999780238,0,467,0,0,0
510,20.007869803911564,282851805,283699080,283437636,1,1,1.3702,21.5129,22.8996,58.5831,84.7275,0,1.39238664E-05,7.252014E-08,0.000122070313,9.340337,9.340334,2.861023E-06,0.9999122,0.9999122,0,468,0,0,0
511,20.033440603911565,283168325,283954106,283695927,1,1,0.0089,23.6783,23.6972,52.7602,78.5781,0,1.39927424E-05,7.287887E-08,9.15527344E-05,14.6416788,14.6416883,9.536743E-06,0.9999996,0.9999996,0,470,0,0,0
512,20.059833003911567,283335877,284218635,283949474,1,1,0.0111,47.9546,47.9805,61.3597,88.2758,0,1.40666234E-05,7.32636636E-08,0.000122070313,11.4989433,11.4989376,5.722046E-06,0.999989867,0.999989867,0,470,0,0,0
514,20.111504403911567,283810386,284734909,284215387,1,1,1.2243,23.6882,24.9202,40.5001,92.4523,0,1.343878E-05,6.99936464E-08,0.000106811523,14.2393732,14.2393818,8.583069E-06,0.999999344,0.999999344,0,473,0,0,0
515,20.135832303911567,283969382,284978409,284731785,1,1,0.0168,25.6333,25.6666,76.2403,100.9027,0,1.4542894E-05,7.574424E-08,0.000106811523,11.77595,11.7759562,5.722046E-06,0.9999923,0.9999923,0,473,0,0,0
517,20.189174803911566,284608105,285511077,284974582,1,1,2.849,19.0185,21.8892,36.6477,90.2972,0,1.47914334E-05,7.703871E-08,9.918213E-05,11.8708429,11.870841,1.90734863E-06,0.999993,0.999993,0,476,0,0,0
518,20.213737003911564,284928737,285757509,285505054,1,1,0.0176,27.0201,27.0534,57.6317,82.8772,0,1.35880882E-05,7.077129E-08,0.000122070313,10.4768505,10.4768362,1.43051147E-05,0.9999718,0.9999718,0,477,0,0,0
520,20.261064803911566,285410918,286230920,285754246,1,1,8.8316,13.9349,22.7802,34.3328,82.0002,0,1.44007981E-05,7.500416E-08,0.000106811523,11.3213,11.3213,0,0.9999879,0.9999879,0,479,0,0,0
521,20.286167003911565,285727138,286481559,285952969,1,1,0.0089,18.2801,18.2987,22.5831,75.4421,0,1.37471916E-05,7.15999562E-08,9.15527344E-05,13.4688644,13.4688625,1.90734863E-06,0.999998569,0.999998569,0,480,0,0,0
522,20.312068503911565,285888250,286740863,286225639,1,1,0.0102,24.0083,24.0285,33.7389,85.2613,0,1.55555354E-05,8.101841E-08,0.000122070313,14.003377,14.0033655,1.14440918E-05,0.999999166,0.999999166,0,481,0,0,0
523,20.333277103911566,286052047,286952771,286475687,1,1,0.0121,22.9704,22.9942,42.364,90.0724,0,1.30535873E-05,6.79874361E-08,0.000106811523,11.4346008,11.4345989,1.90734863E-06,0.9999892,0.9999892,0,481,0,0,0
524,20.364139503911566,286370154,287261235,286737518,1,1,0.0213,23.5633,23.601,36.7364,89.1081,0,1.37268062E-05,7.149378E-08,9.15527344E-05,12.50764,12.5076532,1.335144E-05,0.9999963,0.9999963,0,483,0,0,0
525,20.395271003911567,286687784,287572829,286950581,1,1,0.0131,19.8806,19.9041,26.2797,88.5045,0,1.385614E-05,7.21673956E-08,9.15527344E-05,9.208103,9.208109,5.722046E-06,0.9998998,0.9998998,0,483,0,0,0
