timestamp, uuid, name, driver_version, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/27 21:49:58.392, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 88, 2506, 24564, 117.00, 49
2026/08/27 21:49:58.594, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 88, 2506, 24564, 117.00, 49
2026/08/27 21:49:58.797, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 88, 2506, 24564, 117.00, 49
2026/08/27 21:49:58.999, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 99, 2505, 24564, 117.25, 49
2026/08/27 21:49:59.202, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 99, 2504, 24564, 117.25, 49
2026/08/27 21:49:59.406, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 98, 2503, 24564, 117.50, 49
2026/08/27 21:49:59.609, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 98, 2503, 24564, 117.50, 49
2026/08/27 21:49:59.812, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 98, 2503, 24564, 117.50, 49
2026/08/27 21:50:00.013, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 97, 2501, 24564, 117.45, 49
2026/08/27 21:50:00.214, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 97, 2501, 24564, 117.45, 49
2026/08/27 21:50:00.416, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 95, 2501, 24564, 117.20, 49
2026/08/27 21:50:00.619, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 95, 2500, 24564, 117.20, 49
2026/08/27 21:50:00.820, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 99, 2499, 24564, 117.15, 49
2026/08/27 21:50:01.025, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 99, 2499, 24564, 117.15, 49
2026/08/27 21:50:01.240, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 99, 2498, 24564, 117.15, 49
2026/08/27 21:50:01.441, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 98, 2498, 24564, 117.14, 49
2026/08/27 21:50:01.642, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 98, 2502, 24564, 117.14, 49
2026/08/27 21:50:01.845, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 99, 2501, 24564, 117.21, 49
2026/08/27 21:50:02.047, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 99, 2501, 24564, 117.21, 49
