unityFrame,realtimeSeconds,sourceHostTicks,sentisArrivalHostTicks,ortObservedHostTicks,rowMode,selectedRowMode,workerQueueMs,ortInferenceMs,bridgeToDoneMs,sourceToOrtObservedMs,sourceToSentisArrivalMs,ortMinusSentisObservedMs,landmarkMaeRaw,landmarkMaeNormalized,landmarkMaxAbsRaw,sentisPresenceLogit,ortPresenceLogit,presenceLogitAbsDiff,sentisPresence,ortPresence,presenceAbsDiff,nativeCompleted,nativeFailures,nativeSkipped,nativeReadyReplacements
206,10.744246403741498,116517305,117392801,116904940,1,1,4.7203,15.2609,19.9979,38.7635,87.5496,0,1.36802773E-05,7.125144E-08,9.15527344E-05,11.7264347,11.7264357,9.536743E-07,0.9999919,0.9999919,0,182,0,0,0
207,10.775443503741498,116839039,117704995,117166201,1,1,0.0129,22.5136,22.5374,32.7162,86.5956,0,1.44438291E-05,7.522828E-08,0.000122070313,8.836586,8.836582,3.81469727E-06,0.9998547,0.9998547,0,183,0,0,0
208,10.804344903741498,117001174,117993756,117389316,1,1,0.017,19.688,19.723,38.8142,99.2582,0,1.4167611E-05,7.378964E-08,0.000152587891,7.53953,7.53953362,3.81469727E-06,0.9994686,0.9994686,0,184,0,0,0
209,10.834981403741498,117332573,118299934,117688247,1,1,0.0245,21.2097,21.2575,35.5674,96.7361,0,1.4237693E-05,7.415465E-08,9.15527344E-05,9.059543,9.059536,6.67572E-06,0.9998837,0.9998837,0,185,0,0,0
210,10.857410003741498,117631871,118524482,117990335,1,1,0.0367,25.1074,25.1651,35.8464,89.2611,0,1.39468993E-05,7.26401E-08,9.15527344E-05,7.48872852,7.48873234,3.81469727E-06,0.999440968,0.999440968,0,186,0,0,0
211,10.884988003741498,117811016,118800008,118295149,1,1,0.0199,25.5871,25.62,48.4133,98.8992,0,1.38063588E-05,7.190812E-08,9.15527344E-05,8.185552,8.185544,7.62939453E-06,0.9997214,0.9997214,0,187,0,0,0
212,10.910077903741497,118141343,119050997,118521067,1,1,0.018,19.8943,19.9309,37.9724,90.9654,0,1.48828649E-05,7.751492E-08,0.000122070313,9.135806,9.135804,1.90734863E-06,0.9998923,0.9998923,0,187,0,0,0
213,10.932880203741497,118437102,119279033,118796105,1,1,0.0191,23.2842,23.3237,35.9003,84.1931,0,1.430615E-05,7.45112E-08,0.000122070313,8.0449295,8.044922,7.62939453E-06,0.9996794,0.9996794,0,189,0,0,0
214,10.958526303741497,118604115,119535550,119049316,1,1,0.0198,23.681,23.7184,44.5201,93.1435,0,1.399202E-05,7.28751E-08,0.000106811523,8.300708,8.300713,4.76837158E-06,0.999751747,0.999751747,0,190,0,0,0
216,11.006370103741498,119229848,120013430,119531183,1,1,11.0605,11.961,23.0368,30.1335,78.3582,0,1.52307166E-05,7.932665E-08,0.000106811523,4.425827,4.425826,9.536743E-07,0.9881771,0.9881771,0,191,0,0,0
