timestamp, uuid, name, driver_version, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/27 21:55:28.514, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 97, 2507, 24564, 122.29, 57
2026/08/27 21:55:28.717, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 97, 2507, 24564, 122.29, 57
2026/08/27 21:55:28.920, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 98, 2509, 24564, 121.84, 57
2026/08/27 21:55:29.120, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 98, 2507, 24564, 121.84, 57
2026/08/27 21:55:29.322, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 98, 2507, 24564, 121.84, 57
2026/08/27 21:55:29.527, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 95, 2508, 24564, 121.50, 57
2026/08/27 21:55:29.732, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 95, 2507, 24564, 121.50, 57
2026/08/27 21:55:29.933, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 94, 2507, 24564, 121.48, 57
2026/08/27 21:55:30.136, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 94, 2507, 24564, 121.48, 57
2026/08/27 21:55:30.337, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 94, 2508, 24564, 121.48, 57
2026/08/27 21:55:30.539, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 97, 2507, 24564, 121.32, 57
2026/08/27 21:55:30.744, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 97, 2507, 24564, 121.32, 57
2026/08/27 21:55:30.946, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 96, 2507, 24564, 121.26, 57
2026/08/27 21:55:31.148, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 96, 2507, 24564, 121.26, 57
2026/08/27 21:55:31.352, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 96, 2507, 24564, 121.26, 57
2026/08/27 21:55:31.555, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 94, 2507, 24564, 121.42, 57
2026/08/27 21:55:31.758, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 94, 2507, 24564, 121.42, 57
2026/08/27 21:55:31.962, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 100, 2507, 24564, 121.49, 57
2026/08/27 21:55:32.165, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 100, 2507, 24564, 121.49, 57
2026/08/27 21:55:32.369, GPU-6efc5d27-d766-eeac-cb81-8aa14cebbfa3, NVIDIA GeForce RTX 4090, 610.88, 95, 2507, 24564, 121.54, 57
