unityFrame,realtimeSeconds,sourceHostTicks,sentisArrivalHostTicks,ortObservedHostTicks,rowMode,selectedRowMode,workerQueueMs,ortInferenceMs,bridgeToDoneMs,sourceToOrtObservedMs,sourceToSentisArrivalMs,ortMinusSentisObservedMs,landmarkMaeRaw,landmarkMaeNormalized,landmarkMaxAbsRaw,sentisPresenceLogit,ortPresenceLogit,presenceLogitAbsDiff,sentisPresence,ortPresence,presenceAbsDiff,nativeCompleted,nativeFailures,nativeSkipped,nativeReadyReplacements
218,11.028620901757369,118974232,119800278,119301008,1,1,0.7374,23.426,24.1735,32.6776,82.6046,0,1.57974173E-05,8.227821E-08,0.0001373291,2.21048665,2.21048141,5.24520874E-06,0.9011873,0.9011868,4.76837158E-07,184,0,0,0
219,11.06149410175737,119146449,120128782,119549130,1,1,0.0139,21.9924,22.0199,40.2681,98.2333,0,1.571944E-05,8.187209E-08,0.000122070313,4.024933,4.024932,9.536743E-07,0.982448936,0.9824489,5.96046448E-08,186,0,0,0
220,11.08602620175737,119457067,120374160,119798833,1,1,0.0111,19.283,19.3043,34.1766,91.7093,0,1.58563962E-05,8.25853945E-08,0.0001373291,13.22676,13.2267618,1.90734863E-06,0.9999982,0.9999982,0,186,0,0,0
222,11.14001400175737,120088882,120913743,120370921,1,1,9.6631,12.325,22.0154,28.2039,82.4861,0,1.67606E-05,8.729479E-08,0.0001373291,11.4122868,11.4122953,8.583069E-06,0.9999889,0.9999889,0,188,0,0,0
223,11.16202130175737,120263613,121134117,120910976,1,1,0.012,30.2234,30.2473,64.7363,87.0504,0,1.42191893E-05,7.405828E-08,0.000122070313,7.749563,7.74955654,6.67572E-06,0.999569237,0.999569237,0,190,0,0,0
224,11.19226030175737,120574771,121436538,121129482,1,1,1.4867,34.092,35.5905,55.4711,86.1767,0,1.48448944E-05,7.731716E-08,0.000152587891,5.452716,5.45270967,6.198883E-06,0.9957336,0.9957336,0,191,0,0,0
226,11.24052400175737,120891989,121918721,121432954,1,1,14.3984,13.2975,27.7186,54.0965,102.6732,0,1.62383349E-05,8.457466E-08,0.0001373291,2.45928288,2.45927739,5.48362732E-06,0.921237648,0.92123723,4.172325E-07,193,0,0,0
227,11.264195201757371,121367828,122155998,121642932,1,1,0.0126,19.2412,19.2681,27.5104,78.817,0,1.63817513E-05,8.532162E-08,0.000122070313,0.8140311,0.814028263,2.861023E-06,0.692967832,0.692967236,5.96046448E-07,194,0,0,0
229,11.320622901757369,121865132,122720122,122153622,1,1,2.6361,17.7895,20.4571,28.849,85.499,0,1.64801331E-05,8.58340243E-08,0.000106811523,4.94312954,4.94312525,4.29153442E-06,0.992918253,0.992918253,0,196,0,0,0
230,11.343983301757371,122041048,122953411,122438594,1,1,0.012,25.5462,25.5683,39.7546,91.2363,0,1.35049922E-05,7.03385E-08,9.15527344E-05,3.18463659,3.184638,1.43051147E-06,0.960252,0.960252047,5.96046448E-08,197,0,0,0
