unityFrame,realtimeSeconds,sourceHostTicks,sentisArrivalHostTicks,ortObservedHostTicks,rowMode,selectedRowMode,workerQueueMs,ortInferenceMs,bridgeToDoneMs,sourceToOrtObservedMs,sourceToSentisArrivalMs,ortMinusSentisObservedMs,landmarkMaeRaw,landmarkMaeNormalized,landmarkMaxAbsRaw,sentisPresenceLogit,ortPresenceLogit,presenceLogitAbsDiff,sentisPresence,ortPresence,presenceAbsDiff,nativeCompleted,nativeFailures,nativeSkipped,nativeReadyReplacements
218,10.794313201133786,117093919,117962449,117425113,1,1,14.4037,8.3811,22.81,33.1194,86.853,0,1.46342991E-05,7.622031E-08,9.15527344E-05,4.1626997,4.16270065,9.536743E-07,0.9846731,0.9846731,0,184,0,0,0
220,10.849383101133787,117584523,118512955,117960357,1,1,0.0109,21.3876,21.4076,37.5834,92.8432,0,1.24563676E-05,6.48769145E-08,9.15527344E-05,1.939471,1.93947136,3.57627869E-07,0.874294043,0.874294043,0,185,0,0,0
221,10.875336901133787,117895203,118772370,118285752,1,1,0.0238,24.4253,24.4674,39.0549,87.7167,0,1.50317637E-05,7.82904337E-08,9.15527344E-05,1.82757664,1.827569,7.62939453E-06,0.8614728,0.8614719,8.940697E-07,187,0,0,0
222,10.899132801133787,118223622,119010433,118508133,1,1,0.0148,15.137,15.1615,28.4511,78.6811,0,1.29171658E-05,6.727691E-08,0.000122070313,-0.9311648,-0.9311691,4.29153442E-06,0.282688469,0.2826876,8.64267349E-07,187,0,0,0
224,10.955463701133787,118541157,119572063,119005640,1,1,0.4085,21.8637,22.2888,46.4483,103.0906,0,1.18576254E-05,6.175846E-08,9.15527344E-05,9.703305,9.703308,2.861023E-06,0.9999389,0.9999389,0,190,0,0,0
226,11.007956401133786,119185152,120098523,119562332,1,1,0.4507,22.482,22.9427,37.718,91.3371,0,1.389111E-05,7.234953E-08,0.000106811523,6.306217,6.306216,1.43051147E-06,0.9981784,0.9981784,0,192,0,0,0
227,11.038281201133787,119504963,120401566,119812687,1,1,0.0207,21.6751,21.7161,30.7724,89.6603,0,1.398622E-05,7.28449E-08,0.000106811523,6.5218544,6.521864,9.536743E-06,0.9985312,0.9985312,0,193,0,0,0
228,11.062000501133786,119667407,120639031,120093344,1,1,0.0147,26.3702,26.3988,42.5937,97.1624,0,1.27566E-05,6.644063E-08,9.15527344E-05,3.99253774,3.992536,1.66893E-06,0.9818815,0.9818815,0,194,0,0,0
229,11.088669701133787,119980130,120905806,120395845,1,1,0.0141,21.182,21.2122,41.5715,92.5676,0,1.42279287E-05,7.41037951E-08,9.15527344E-05,0.242398322,0.2424041,5.78165054E-06,0.5603046,0.560306,1.43051147E-06,194,0,0,0
230,11.121268201133786,120304848,121231667,120635921,1,1,0.0159,21.9578,21.9867,33.1073,92.6819,0,1.31731094E-05,6.860994E-08,9.15527344E-05,4.943165,4.94316769,2.861023E-06,0.9929185,0.992918551,5.96046448E-08,196,0,0,0
231,11.144475001133786,120618163,121463969,120902471,1,1,0.0199,22.5188,22.5524,28.4308,84.5806,0,1.37634588E-05,7.168468E-08,0.000122070313,11.1775484,11.1775484,0,0.999986,0.999986,0,197,0,0,0
